Image Name: 1	
Slide Name: 160421_1	
Capture Date: 04/21/2016	
Capture Time: 14:48:56	
Plane	Time	Elapsed (ms)	G PMT (1)	G PMT (2)	G PMT (3)	G PMT (4)	G PMT (5)	G PMT (6)	G PMT (7)	G PMT (8)	G PMT (9)	G PMT (10)	G PMT (11)	G PMT (12)	G PMT (13)	G PMT (14)	G PMT (15)	G PMT (16)	G PMT (17)	G PMT (18)	
136	14:48:56	24305	1091.914	1218.917	531.357	583.567	767.667	590.071	621.848	513.000	429.542	658.700	1039.889	323.611	665.778	808.500	638.923	303.778	910.143	393.409	
137	14:48:56	24443	1098.138	1212.542	531.714	539.500	764.667	665.286	615.696	499.542	415.167	626.900	1033.667	260.833	628.000	784.500	614.231	303.556	880.857	388.818	
138	14:48:56	24582	1154.983	1176.583	517.643	492.867	756.389	614.714	664.913	494.500	422.083	654.000	1071.667	265.611	641.611	801.222	579.615	281.833	933.143	395.500	
139	14:48:56	24720	1148.828	1285.292	496.571	531.933	730.944	607.643	646.761	488.583	416.042	612.800	946.167	273.167	574.056	806.722	595.346	318.778	849.643	386.682	
140	14:48:56	24858	1186.293	1222.083	516.857	536.267	699.444	619.500	636.043	507.875	408.375	583.000	1015.333	273.778	641.611	818.389	588.731	306.500	849.571	387.091	
141	14:48:56	24996	1140.207	1221.667	516.357	545.533	740.556	608.000	615.783	499.667	412.542	604.200	1020.056	234.833	637.667	770.500	602.846	297.389	899.286	379.045	
142	14:48:56	25135	1124.069	1216.333	520.714	583.700	737.111	575.500	659.370	529.625	431.417	650.000	1004.056	281.889	585.778	807.944	588.846	316.889	897.357	374.636	
143	14:48:56	25273	1190.534	1232.500	591.429	572.667	730.722	600.929	671.413	468.333	429.417	627.000	1058.889	281.167	635.722	803.444	602.192	344.722	860.643	368.364	
144	14:48:56	25411	1163.534	1237.292	558.286	532.500	781.278	585.714	652.174	486.250	449.667	607.900	990.222	251.500	609.778	799.278	599.385	293.333	834.214	354.182	
145	14:48:56	25549	1154.293	1213.000	554.571	523.367	719.889	573.429	632.609	506.750	456.583	670.200	1045.500	297.500	619.000	830.278	602.154	318.611	902.429	371.500	
146	14:48:56	25688	1089.569	1251.292	520.714	548.000	752.833	591.500	627.087	493.542	442.333	636.300	1040.500	267.111	543.889	790.833	614.192	310.500	835.357	375.545	
147	14:48:56	25826	1146.121	1270.208	536.929	499.667	729.222	565.429	639.587	478.208	421.542	641.600	989.889	260.000	594.556	797.556	575.615	309.722	875.857	331.864	
148	14:48:56	25964	1145.638	1292.792	577.071	538.667	802.056	605.571	686.348	485.542	433.833	672.200	1044.722	257.778	641.833	840.111	611.962	312.389	829.643	383.864	
149	14:48:56	26102	1152.414	1247.708	551.786	548.567	758.389	586.214	598.891	491.792	397.333	627.500	1027.389	287.333	649.222	807.222	565.192	312.667	883.214	366.636	
150	14:48:56	26241	1114.431	1234.583	578.357	556.333	717.222	538.929	626.435	455.000	419.125	668.100	1073.667	283.222	643.889	804.333	637.115	310.500	907.500	369.364	
151	14:48:56	26379	1147.069	1307.208	584.857	525.967	725.222	605.429	654.152	506.125	436.542	621.500	1031.056	272.778	599.889	813.333	599.192	297.222	887.786	363.000	
152	14:48:56	26517	1134.500	1222.542	581.000	559.467	701.611	563.000	633.152	468.417	456.958	640.200	1084.111	310.278	666.889	795.000	597.192	334.389	892.500	347.955	
153	14:48:56	26655	1145.362	1248.167	605.714	527.600	741.111	602.143	657.348	433.000	452.292	629.100	1122.278	297.944	594.444	765.500	594.000	321.778	828.286	359.682	
154	14:48:56	26794	1122.741	1220.292	527.571	520.700	748.778	587.214	614.804	463.000	416.375	608.600	1089.278	233.222	616.167	851.111	608.769	315.611	886.286	353.727	
155	14:48:56	26932	1109.345	1188.792	552.786	568.933	748.667	536.500	610.913	505.042	405.000	613.500	1148.778	267.889	576.833	768.833	594.115	293.278	793.071	342.455	
156	14:48:56	27070	1099.776	1231.167	546.214	559.300	703.722	588.929	608.022	474.292	436.458	603.100	1152.278	271.833	613.833	846.278	607.192	290.500	838.143	351.909	
157	14:48:56	27208	1123.690	1248.292	545.571	559.500	703.611	573.071	625.304	456.125	442.417	625.700	1102.222	268.889	605.833	809.222	599.385	271.444	854.857	340.409	
158	14:48:56	27346	1107.155	1210.250	560.857	520.267	754.333	544.857	599.217	480.000	408.542	587.400	1193.889	248.278	627.611	812.278	610.115	332.667	849.357	366.045	
159	14:48:56	27485	1114.431	1268.875	537.714	591.267	730.000	581.071	615.674	506.083	456.708	643.800	1178.167	283.278	634.333	820.722	621.423	302.500	870.500	374.091	
160	14:48:56	27623	1130.207	1129.417	541.929	586.567	745.167	592.929	612.522	500.792	428.625	607.300	1186.667	294.722	638.944	861.444	637.077	330.222	907.857	388.000	
161	14:48:56	27761	1135.759	1237.875	523.214	580.533	765.333	636.429	633.087	457.000	425.417	656.800	1151.667	266.278	667.444	831.222	653.115	323.000	903.500	365.636	
162	14:48:56	27899	1129.431	1312.292	543.071	597.267	787.833	615.214	658.978	495.500	429.500	615.500	1144.222	297.000	636.722	849.278	621.923	299.667	869.643	367.545	
163	14:48:56	28038	1197.828	1254.375	555.000	582.533	745.111	582.357	616.413	510.625	440.708	651.700	1159.444	277.056	672.944	849.778	596.038	300.500	911.643	376.909	
164	14:48:56	28176	1078.000	1178.542	500.143	523.633	759.333	587.071	597.783	540.917	426.958	652.400	1205.444	287.833	652.167	791.333	596.962	265.444	812.500	379.455	
165	14:48:56	28314	1132.948	1181.167	572.429	528.533	764.667	605.857	576.239	528.292	426.792	593.500	1168.222	261.778	687.278	777.000	586.885	301.056	848.643	332.364	
166	14:48:56	28452	1125.948	1220.125	563.714	541.967	714.389	628.214	617.370	527.708	403.583	629.600	1150.222	272.056	694.889	810.056	619.500	304.444	919.643	343.727	
167	14:48:56	28591	1137.293	1228.250	571.357	520.067	759.833	612.000	619.000	525.250	423.833	621.300	1222.111	277.778	646.056	805.389	585.346	298.889	837.857	356.636	
168	14:48:56	28729	1125.897	1285.375	580.429	556.267	819.111	639.786	608.565	526.083	414.667	624.200	1198.111	261.556	612.833	826.444	622.038	302.333	885.286	351.000	
169	14:48:56	28867	1095.155	1212.417	536.286	511.833	726.667	618.214	601.478	530.500	415.500	670.800	1207.056	265.611	672.889	863.667	622.538	297.333	903.429	362.727	
170	14:48:56	29005	1073.534	1106.417	581.643	547.433	774.167	633.714	623.935	524.583	413.792	679.300	1128.444	294.667	650.611	857.889	624.077	325.222	936.429	374.818	
171	14:48:56	29144	1127.310	1222.542	558.571	567.533	796.722	638.143	659.652	505.708	448.042	630.000	1163.222	280.889	616.500	856.056	648.769	300.556	887.214	370.682	
172	14:48:56	29282	1119.655	1215.958	573.214	581.100	744.667	652.214	671.500	494.875	427.417	589.500	1142.111	300.889	559.111	794.333	578.923	310.278	957.143	349.909	
173	14:48:56	29420	1109.328	1284.708	529.500	529.633	787.944	618.000	657.326	505.583	443.250	656.400	1135.833	285.722	619.556	861.278	613.077	274.778	999.857	379.227	
174	14:48:56	29558	1115.138	1211.375	622.500	606.833	811.444	630.286	623.543	520.583	419.167	646.500	1138.556	291.222	631.056	760.333	617.692	309.000	961.643	392.727	
175	14:48:56	29697	1158.983	1311.833	572.786	528.567	850.000	644.643	669.935	487.083	449.583	581.400	1199.167	325.667	638.389	879.278	607.462	320.444	965.214	384.000	
176	14:48:56	29835	1176.397	1185.625	554.571	558.567	819.889	645.071	663.522	514.375	415.042	646.900	1125.278	297.500	624.778	920.056	673.846	320.000	1054.714	372.318	
177	14:48:56	29973	1110.983	1260.875	517.643	544.800	815.278	673.071	651.196	533.000	439.833	652.700	1171.833	306.000	587.056	828.556	648.231	295.000	896.857	383.136	
178	14:48:56	30111	1110.966	1142.042	546.786	581.600	753.667	634.929	627.217	530.458	400.667	678.100	1183.556	292.667	739.556	817.389	672.462	287.667	947.643	376.000	
179	14:48:56	30249	1110.828	1201.667	554.286	481.367	760.611	691.286	620.739	584.667	444.750	657.900	1088.222	294.500	669.000	826.889	659.885	331.556	957.929	365.682	
180	14:48:56	30388	1179.431	1269.250	558.143	530.567	743.556	649.857	634.500	536.458	420.583	631.800	1185.056	298.889	668.389	888.556	618.192	307.056	926.714	368.455	
181	14:48:56	30526	1189.621	1204.542	546.857	568.600	808.000	674.929	676.739	577.292	450.667	653.700	1162.778	283.278	688.222	829.611	613.846	319.778	949.714	360.818	
182	14:48:56	30664	1196.121	1298.042	546.286	608.467	752.778	657.500	670.565	565.792	464.208	707.500	1187.333	290.278	699.833	870.278	612.115	304.222	939.929	408.545	
183	14:48:56	30802	1133.828	1204.417	543.929	572.467	806.000	632.286	630.761	593.125	482.875	682.100	1267.500	294.333	780.556	824.167	631.385	318.389	883.214	426.273	
184	14:48:56	30941	1162.052	1220.292	576.286	553.433	833.444	663.714	674.543	590.042	471.917	668.100	1235.111	289.500	678.500	823.444	602.538	326.278	906.286	371.455	
185	14:48:56	31079	1151.741	1300.625	599.357	573.733	826.000	648.571	703.348	583.458	470.500	647.600	1175.556	290.056	653.333	903.889	646.385	318.778	1039.214	395.773	
186	14:48:56	31217	1143.776	1250.250	613.143	545.300	806.389	617.429	699.348	572.625	486.958	711.400	1173.278	297.667	635.833	860.556	647.038	323.167	955.143	381.591	
187	14:48:56	31355	1174.138	1249.792	548.714	591.533	747.333	670.429	637.978	529.250	462.250	690.000	1174.667	279.000	681.500	832.556	659.846	320.833	961.786	360.545	
188	14:48:56	31494	1142.259	1234.208	554.500	552.167	788.056	633.643	658.304	583.292	445.292	721.300	1182.556	306.889	657.333	884.111	666.615	330.333	1012.429	386.864	
189	14:48:56	31632	1216.034	1362.625	589.929	549.467	790.500	674.643	671.804	582.917	458.125	683.000	1167.222	305.111	713.611	899.333	704.000	377.722	1034.429	395.545	
190	14:48:56	31770	1192.190	1262.292	556.571	558.900	832.000	658.643	675.109	597.833	460.333	655.900	1161.056	270.611	666.333	882.833	653.923	333.556	1094.000	379.000	
191	14:48:56	31908	1240.000	1281.250	597.929	616.233	855.056	681.214	692.065	554.917	456.875	703.300	1149.167	307.667	657.944	873.000	685.038	330.000	1097.071	369.591	
192	14:48:56	32047	1154.966	1249.458	558.857	581.633	806.667	671.214	699.935	564.542	463.750	741.000	1146.389	307.944	725.278	891.056	677.808	325.556	1011.357	426.000	
193	14:48:56	32185	1156.362	1260.250	582.286	566.200	820.722	703.929	669.978	581.417	447.208	702.100	1142.778	270.333	626.000	906.833	637.500	310.833	986.571	393.045	
194	14:48:56	32323	1229.207	1269.875	570.071	592.167	831.389	703.286	716.413	565.500	443.875	752.300	1094.389	283.222	646.222	893.389	668.231	332.778	1094.429	409.909	
195	14:48:56	32461	1247.190	1292.000	529.357	587.800	870.556	677.357	705.609	592.750	421.167	706.500	1163.167	298.611	630.611	926.000	629.654	348.944	1014.714	424.318	
196	14:48:56	32600	1222.914	1310.583	524.286	556.700	812.333	723.429	698.109	616.375	477.208	675.000	1032.722	300.222	736.611	847.333	683.962	303.611	1008.071	418.182	
197	14:48:56	32738	1181.966	1223.292	524.714	561.433	801.222	642.714	693.935	615.750	439.208	713.700	1130.833	298.944	675.167	843.611	669.500	358.944	1026.714	389.000	
198	14:48:56	32876	1224.724	1249.292	562.857	558.700	841.056	628.071	689.239	601.917	451.500	702.100	1104.000	302.722	687.444	865.333	683.154	348.556	1049.357	407.045	
199	14:48:56	33014	1248.259	1293.083	580.429	580.700	894.722	729.643	714.500	603.958	455.542	689.400	1107.611	280.333	721.889	872.333	690.846	346.444	1041.143	389.273	
200	14:48:56	33153	1248.655	1251.875	549.214	618.433	839.000	728.429	697.087	591.917	453.625	689.700	1109.111	296.667	647.944	875.444	684.000	339.111	1002.643	406.727	
201	14:48:56	33291	1181.862	1287.792	571.500	643.200	819.056	665.071	678.891	607.625	478.375	688.500	1062.778	306.222	771.444	881.667	702.577	330.278	1151.571	396.273	
202	14:48:56	33429	1204.828	1233.958	615.500	601.267	847.167	642.786	660.065	605.833	461.167	670.000	1075.278	320.556	757.889	908.333	662.769	356.889	1045.214	366.591	
203	14:48:56	33567	1236.707	1227.042	595.786	587.200	816.278	712.857	679.000	575.833	485.292	675.800	1051.389	292.833	675.222	887.111	721.038	355.222	1086.143	408.091	
204	14:48:56	33706	1264.862	1330.042	579.357	605.800	820.556	675.857	707.739	577.083	465.458	657.600	1093.889	306.722	668.389	929.056	665.577	362.556	1175.929	418.636	
205	14:48:56	33844	1220.241	1224.000	568.929	528.133	798.333	670.214	671.652	577.958	424.958	632.500	1092.778	269.000	628.889	876.111	663.192	334.778	1031.143	381.909	
206	14:48:56	33983	1195.293	1174.708	542.429	518.367	790.944	631.714	686.500	604.458	483.125	661.500	1100.722	296.278	708.667	855.778	683.538	344.444	1110.786	396.364	
207	14:48:56	34121	1197.155	1222.458	561.643	594.633	798.222	653.571	693.565	569.042	462.583	680.600	1108.889	285.667	673.167	845.889	650.038	329.056	1132.714	418.364	
208	14:48:56	34259	1224.914	1302.833	604.786	580.867	842.833	705.000	700.435	584.792	462.792	700.400	1136.056	303.111	661.556	879.222	649.962	333.611	1125.714	414.727	
209	14:48:56	34398	1245.293	1323.208	591.643	541.300	872.111	645.857	726.739	563.042	439.958	695.600	1110.222	288.333	694.500	938.167	686.769	357.222	1102.286	422.318	
210	14:48:56	34536	1182.414	1237.208	609.429	505.000	836.056	653.143	674.739	568.125	478.792	696.500	1063.167	283.833	719.667	832.667	702.154	335.000	1077.714	417.909	
211	14:48:56	34674	1140.276	1257.250	539.643	521.833	863.389	666.357	676.283	602.208	467.625	735.000	1140.722	300.111	732.167	845.611	680.231	336.667	1057.429	423.364	
212	14:48:56	34812	1172.052	1238.000	614.929	551.333	771.167	685.500	651.696	590.708	464.167	659.700	1084.222	268.278	724.000	819.222	663.308	366.611	1110.929	395.500	
213	14:48:56	34951	1194.310	1261.417	586.214	558.400	842.778	718.429	683.565	599.667	481.208	702.700	1148.722	303.778	709.111	901.167	684.000	351.778	1167.714	412.409	
214	14:48:56	35089	1168.155	1204.833	602.857	594.700	891.833	679.071	698.978	559.000	456.458	725.300	1101.167	277.167	715.333	904.500	683.385	352.389	1075.857	435.818	
215	14:48:56	35227	1202.155	1260.542	631.286	619.000	875.667	658.429	718.391	570.542	476.042	752.900	1188.889	294.778	761.611	854.222	708.346	374.444	1185.929	427.409	
216	14:48:56	35365	1192.397	1287.958	610.929	560.867	894.944	656.571	714.109	576.292	478.708	706.700	1103.278	276.222	721.444	851.333	668.923	361.833	1131.000	412.773	
217	14:48:56	35504	1217.138	1347.250	666.071	579.833	854.778	667.857	732.413	607.792	457.667	648.900	1229.000	323.833	803.556	923.389	682.269	350.778	1144.000	388.364	
218	14:48:56	35642	1271.190	1221.833	633.143	567.800	867.833	751.929	723.848	572.417	471.667	685.200	1100.778	312.389	764.833	918.556	653.346	340.056	1136.571	400.227	
219	14:48:56	35780	1224.862	1362.042	638.286	611.400	863.611	709.286	723.130	578.833	503.292	744.100	1138.111	295.500	751.556	856.500	653.500	322.722	1112.786	405.045	
